Dataset,AffinityPropagation,AgglomerativeClustering,BIRCH,CoreClustering,DBSCAN,GaussianMixture,HDBSCAN,MeanShift,MiniBatchKMeans,OPTICS,SpectralClustering,Ward
aniso,0.5122,0.1128,0.5226,0.569,-0.0,1.0,0.9849,0.5199,0.5467,0.4312,0.9761,0.5784
balance-scale,-0.0019,0.0063,0.0335,0.0502,0.0,0.1669,0.0,0.0,0.1388,0.0165,0.2093,0.0486
blobs,0.9703,0.0,0.93,0.9761,0.5558,0.9644,0.5624,0.9703,0.9761,0.6193,0.9644,0.9644
data1,0.3782,0.3688,0.3324,0.777,0.424,0.4029,0.8746,0.3773,0.2998,0.5778,0.3228,0.409
data2,0.4006,0.5456,0.4221,0.6657,0.021,0.4011,0.8982,0.6665,0.4006,0.8811,0.2011,0.4625
data3,0.0538,0.0023,0.0047,0.447,0.0,0.071,0.0487,0.0393,0.0098,0.4393,0.0029,0.0006
data4,0.3755,0.5544,0.4205,0.5626,0.7427,0.48,0.9774,0.4691,0.4069,0.0197,0.3817,0.3967
ecoli,0.7186,0.0428,0.7232,0.6553,0.0,0.6183,0.1183,0.0381,0.4171,0.038,0.3918,0.4909
glass,0.2195,0.0548,0.2626,0.2485,-0.008,0.2257,0.2078,0.2502,0.1689,0.125,0.1421,0.1651
heart-statlog,0.1664,0.0019,0.2434,0.0008,0.0,0.3227,0.0197,0.0,0.452,0.0,0.3942,0.251
iris,0.5681,0.5638,0.5473,0.5578,0.0876,0.9039,0.5681,0.5681,0.6235,0.1666,0.4187,0.6835
noisy_circles,-0.0025,0.2862,0.0039,1.0,1.0,-0.0014,1.0,0.0,-0.0019,0.0604,1.0,0.0058
noisy_moons,0.4505,0.0169,0.6784,1.0,1.0,0.506,1.0,0.5467,0.489,0.8111,1.0,0.6329
varied,0.4926,0.0,0.4899,0.792,0.5281,0.9468,0.8031,0.787,0.7585,0.5657,0.8035,0.8476
vehicle,0.0986,0.0006,0.0862,0.0534,0.0,0.089,-0.0006,0.0006,0.078,0.0006,0.119,0.092
wisc,0.18,0.0026,0.85,0.8067,-0.0749,0.5421,0.0161,0.7247,0.8178,0.047,0.8716,0.8504
zoo,0.184,0.8424,0.9248,0.1941,-0.0523,0.6615,0.0245,0.0341,0.4729,0.3747,0.5134,0.7969
