Dataset,AffinityPropagation,AgglomerativeClustering,BIRCH,CoreClustering,DBSCAN,GaussianMixture,HDBSCAN,MeanShift,MiniBatchKMeans,OPTICS,SpectralClustering,Ward
aniso,0.5895,0.2675,0.5831,0.733,0.0039,1.0,0.9705,0.6185,0.5806,0.5692,0.958,0.6514
balance-scale,0.0006,0.0255,0.028,0.0791,0.0,0.1319,0.0,0.0,0.1069,0.0143,0.1769,0.0515
blobs,0.9544,0.0078,0.9144,0.9605,0.6918,0.9479,0.7172,0.9544,0.9615,0.7213,0.9479,0.9479
data1,0.5305,0.485,0.4412,0.7839,0.5736,0.4994,0.8615,0.5284,0.4237,0.6869,0.4197,0.5441
data2,0.4997,0.5845,0.5246,0.6522,0.0484,0.524,0.8639,0.6507,0.5101,0.8107,0.3502,0.5411
data3,0.061,0.0074,0.0047,0.5191,0.0,0.062,0.1793,0.0342,0.0091,0.4604,0.0032,0.0013
data4,0.5377,0.5963,0.5485,0.6589,0.79,0.663,0.9567,0.5047,0.5908,0.3319,0.5941,0.5833
ecoli,0.6765,0.154,0.7046,0.5883,0.0,0.5966,0.1085,0.1183,0.591,0.1123,0.5913,0.6318
glass,0.3478,0.1652,0.3849,0.428,0.0456,0.3553,0.3447,0.417,0.3357,0.3097,0.2652,0.3283
heart-statlog,0.1863,0.0085,0.1804,0.0003,0.0,0.2444,0.0123,0.0,0.3663,0.0,0.3088,0.1993
iris,0.7337,0.7175,0.6404,0.7005,0.2783,0.8997,0.7337,0.7337,0.648,0.3793,0.5096,0.7247
noisy_circles,0.0001,0.3703,0.0044,1.0,1.0,0.0004,1.0,0.0,0.0001,0.2396,1.0,0.0056
noisy_moons,0.3564,0.1027,0.6492,1.0,1.0,0.4068,1.0,0.4427,0.3908,0.8308,1.0,0.6141
varied,0.5749,0.0116,0.5671,0.7788,0.6113,0.916,0.7904,0.7777,0.7555,0.6286,0.7996,0.8221
vehicle,0.1895,0.0187,0.1216,0.1121,0.0,0.1284,0.0024,0.0132,0.1161,0.0114,0.182,0.1292
wisc,0.3574,0.0047,0.7501,0.6418,0.1616,0.5439,0.2361,0.5323,0.7106,0.2715,0.783,0.7767
zoo,0.2415,0.857,0.8567,0.5939,0.2246,0.8339,0.0607,0.0796,0.7134,0.6373,0.7467,0.8698
