Dataset,AffinityPropagation,AgglomerativeClustering,BIRCH,CoreClustering,DBSCAN,GaussianMixture,HDBSCAN,MeanShift,MiniBatchKMeans,OPTICS,SpectralClustering,Ward
aniso,0.6134,0.2065,0.4869,0.6155,,0.4587,0.4668,0.62,0.5001,0.7168,0.4627,0.4815
balance-scale,0.1621,-0.1539,0.1005,0.1383,,0.1622,,,0.1649,,0.1593,0.1497
blobs,0.6542,-0.1669,0.6418,0.653,0.5309,0.6538,0.5256,0.6542,0.6542,0.7833,0.6538,0.6538
data1,0.6044,0.3566,0.3848,0.3533,0.3971,0.421,0.4112,0.6046,0.3922,0.534,0.2414,0.4367
data2,0.4013,0.1085,0.3799,0.5515,0.2684,0.3563,-0.1088,0.5531,0.4053,0.5549,0.1033,0.4126
data3,0.4206,0.126,0.3584,0.1493,,0.3969,,0.4023,0.3943,0.4197,0.3858,0.3704
data4,0.4915,0.186,0.3955,0.3531,0.4013,0.442,0.0692,0.4578,0.4706,0.7889,0.4622,0.4323
ecoli,0.4119,0.1735,0.3327,0.2526,,0.1573,,0.5577,0.28,,0.2313,0.2291
glass,0.4433,0.3772,0.2862,0.3343,,0.2526,0.4963,0.3524,0.3333,0.7393,0.1419,0.279
heart-statlog,0.1099,0.1729,0.1369,0.1547,,0.1425,,,0.1711,,0.153,0.1314
iris,0.5802,0.494,0.4516,0.4261,0.6368,0.3728,0.5802,0.5802,0.4549,0.6334,0.3769,0.4507
noisy_circles,0.3844,0.2528,0.3197,0.1138,0.1138,0.3466,0.1138,,0.3453,0.5719,0.1138,0.3463
noisy_moons,0.4933,0.1843,0.4603,0.3853,0.3853,0.4962,0.3853,0.4958,0.4958,0.5486,0.3853,0.4597
varied,0.645,0.2333,0.5509,0.6032,0.5587,0.5881,0.6814,0.6317,0.6344,0.7869,0.632,0.6138
vehicle,0.1545,0.5393,0.2775,0.3746,,0.2833,,0.5395,0.3058,,0.2457,0.2868
wisc,-0.0673,0.4875,0.5697,0.6471,0.9524,0.3957,0.332,0.4512,0.5747,0.1724,0.5684,0.5483
zoo,0.1472,0.2706,0.3597,0.6628,1.0,0.3338,,0.239,0.3201,0.6327,0.3362,0.3625
