n,algorithm,graph_construction,density_sequence,core_identification,segment_expansion,total
100,CoreClustering,0.0018,0.0138,0.0001,0.002,0.0175
100,DBSCAN,0.0,0.0,0.0,0.0,0.0041
100,HDBSCAN,0.0,0.0,0.0,0.0,0.0036
200,CoreClustering,0.0068,0.0202,0.0002,0.0077,0.0348
200,DBSCAN,0.0,0.0,0.0,0.0,0.0014
200,HDBSCAN,0.0,0.0,0.0,0.0,0.0021
500,CoreClustering,0.0598,0.1178,0.0002,0.0358,0.2137
500,DBSCAN,0.0,0.0,0.0,0.0,0.0029
500,HDBSCAN,0.0,0.0,0.0,0.0,0.0048
800,CoreClustering,0.1147,0.3068,0.0004,0.0987,0.5205
800,DBSCAN,0.0,0.0,0.0,0.0,0.005
800,HDBSCAN,0.0,0.0,0.0,0.0,0.0108
1000,CoreClustering,0.2012,0.522,0.0005,0.151,0.8747
1000,DBSCAN,0.0,0.0,0.0,0.0,0.0111
1000,HDBSCAN,0.0,0.0,0.0,0.0,0.0192
1500,CoreClustering,0.5461,1.197,0.0008,0.3566,2.1005
1500,DBSCAN,0.0,0.0,0.0,0.0,0.0122
1500,HDBSCAN,0.0,0.0,0.0,0.0,0.0232
2000,CoreClustering,0.7488,2.1257,0.0009,0.6129,3.4884
2000,DBSCAN,0.0,0.0,0.0,0.0,0.0211
2000,HDBSCAN,0.0,0.0,0.0,0.0,0.0362
3000,CoreClustering,1.8733,5.4399,0.0018,1.3164,8.6314
3000,DBSCAN,0.0,0.0,0.0,0.0,0.0398
3000,HDBSCAN,0.0,0.0,0.0,0.0,0.0785
